id,Standard/Label Name,birthYear,deathYear,birthYearIsApprox,geographyISO,firstName,middleName,lastName,B & P Author Abbrev.,Name
46724,J. W. Wood,,,,,John,W.,Wood,,"Wood, John W., John Bland, 1813-1890?"
65083,N. Spjeldnaes,1926.0,2006.0,False,"NO, SE",Nils,,Spjeldnaes,Spjeldn.,"Spjeldnaes, Nils, Nils Spjeldnaes, Spjeldnæs, Nils"
2144,F. A. Schade,1881.0,1976.0,False,DE,Friedrich,Alwin,Schade,Schade,"Schade, Friedrich Alwin, Friedrich Alwin Schade"
68437,Dellien,,,,DE,Friedrich,,Dellien,Dellien,"Dellien, Friedrich, Friedrich Dellien"
19445,J. Guarro,1948.0,,False,"ES, BR",Josep,,Guarro,Guarro,"Guarro, Josep, Guarro, J., Josep Guarro Artigas, Josep Guarro Artigas; Josep Guarro"
3727,W. H. Wiegmann,,,,US,William,H.,Wiegmann,,"Wiegmann, William H."
28490,M. Steciow,1959.0,,False,AR,Mónica,,Steciow,,"Steciow, Mónica"
61933,Yusof,,,,BD,Mohammed,,Yusof,Yusof,"Yusof, Mohammed, Mohammed Yusof"
49694,S. P. Wasser,1946.0,,False,"RU, UA",Solomon,Pavlovich,Wasser,Wasser,"Wasser, Solomon Pavlovich, Solomon Pavlovich Wasser, Vasser, Solomon Pavlovich"
38962,Mrs. E. Clark,,,,US,Ellery,,Clark,,"Clark, Ellery, Mrs."
2903,J. Houba,1843.0,,False,,Julien,,Houba,Houba,"Houba, Julien, Julien Houba"
44527,R. Pott,1951.0,,False,DE,Richard,,Pott,,"Pott, Richard"
83347,Friedrichs,,,,,G.,,Friedrichs,Friedrichs,"Friedrichs, G., G. Friedrichs"
17402,D. Zofak,1908.0,,False,CZ,Dobroslav,,Zofak,,"Zofak, Dobroslav"
68856,M. G. Pimenov,1937.0,,False,"RU, TJ, NP",Michael,Georgievich,Pimenov,Pimenov,"Pimenov, Michael Georgievich, Michael Georgievich Pimenov"
78498,Tokura,,,,,Ryoichi,,Tokura,Tokura,"Tokura, Ryoichi, Ryoichi Tokura"
20155,L. Giltay,1903.0,1937.0,False,BE,Louis,,Giltay,,"Giltay, Louis"
41767,A. Saarisalo-Taubert,1929.0,,False,FI,Annikki,,Saarisalo-Taubert,,"Saarisalo-Taubert, Annikki"
64661,A. Harmand,,,,,A.,,Harmand,A.Harm.,"Harmand, A., A. Harmand"
38559,F. A. Silva Filho,,,,BR,F.,A.,Silva Filho,,"Silva Filho, F. A."
69254,Casali,1865.0,,False,IT,Carlo,,Casali,Casali,"Casali, Carlo, Carlo Casali"
48814,G. Rajkumar,,,,IN,G.,,Rajkumar,G. Rajkumar,"Rajkumar, G., G. Rajkumar"
6935,K. Merz,,,,,K.,,Merz,,"Merz, K."
15031,O. Schneider-Orelli,1880.0,,False,,Otto,,Schneider-Orelli,Schneid.-Or.,"Schneider-Orelli, Otto, Otto Schneider-Orelli"
44362,O. L. Guzmán,,,,CO,O.,L.,Guzman,,"Guzman, O. L."
74762,Schübeler,1815.0,1892.0,False,NO,Frederik,Christian,Schübeler,Schübeler,"Schübeler, Frederik (Fritz) Christian, Frederik (Fritz) Christian Schübeler"
9120,Mary E. Jones,,,,US,Mary,E.,Jones,,"Jones, Mary E."
72311,W. Wille,,,,,Wolfgang,,Wille,W. Wille,"Wille, Wolfgang, Wolfgang Wille"
33692,P. L. R. Moraes,,,,BR,Pedro,Luís Rodrigues de,Moraes,P. L. R. Moraes,"Moraes, Pedro Luís Rodrigues de, P. L. Rodrigo Moraes, P. Rodrigo de Moraes, Pedro Luís Rodrigues de Moraes"
79745,L. A. Viereck,1930.0,,False,US,Leslie,A.,Viereck,Viereck,"Viereck, Leslie A., L. A. Viereck, Les A. Viereck"
18369,H. Meijer,,,,BR,Hermann,,Meijer,,"Meijer, Hermann"
73137,Reagan,,,,,Albert,B.,Reagan,Reagan,"Reagan, Albert B., Albert B. Reagan"
65736,L. F. Gruner,1839.0,,False,"RU, DE",Leopold,Fedorovich,Gruner,Gruner,"Gruner, Leopold Fedorovich, Leopold Fedorovich Gruner"
47943,J. Kleynen,1952.0,,False,"NL, IT",Jacques,,Kleynen,Kleynen,"Kleynen, Jacques, Jacques Kleynen"
26924,L. M. Sánchez-Pinto,1950.0,,False,ES,Lázaro,M.,Sánchez-Pinto,L.M.Sánchez-Pinto,"Sánchez-Pinto, Lázaro M., Lázaro M. Sánchez-Pinto"
81852,Tollard,,,,FR,Claude,,Tollard,Tollard,"Tollard, Claude, Claude Tollard"
43165,J. Comber,,,,,J.,,Comber,,"Comber, J."
10279,J. Haak,1920.0,,True,ID,Jurriaan,,Haak,,"Haak, Jurriaan"
49917,O. Petrino,,,,,O.,,Petrino,,"Petrino, O."
3569,R. Häusler,,,,NZ,Rud.,,Häusler,,"Häusler, Rud."
88989,J. Good,,,,US,Janet,,Good,,"Good, Janet"
